left_mid_x,left_mid_y,left_inner_x,left_inner_y,left_outer_x,left_outer_y,right_mid_x,right_mid_y,right_inner_x,right_inner_y,right_outer_x,right_outer_y
100.25338697325331,99.94223999718236,95.24472946468843,99.94223999718236,105.25938506779305,99.94223999718236,150.131047427332,100.14675708344974,145.14127793097126,100.14675708344974,155.15217992074832,100.14675708344974
100.41988831776732,99.82454113304055,95.44791608478606,99.82454113304055,105.35031708240555,99.82454113304055,150.0884572371933,100.1780943172247,145.04673499556537,100.1780943172247,155.08466393569665,100.1780943172247
100.25139302508924,100.16280865673433,95.21490430533305,100.16280865673433,105.26924376642026,100.16280865673433,150.0647811610536,99.98651834025587,145.09952726557646,99.98651834025587,155.06499228606717,99.98651834025587
100.38652541207128,99.92625382850791,95.3324110662483,99.92625382850791,105.3779029002484,99.92625382850791,150.03637149119942,99.8936954385915,145.05758384889504,99.8936954385915,155.10455831382387,99.8936954385915
100.28106358608969,100.02815738841488,95.35032407175117,100.02815738841488,105.25066847283371,100.02815738841488,150.01644766756397,99.97979974444895,144.9938449998763,99.97979974444895,155.0098772522311,99.97979974444895
100.37557003028803,100.13862858122467,95.25231431590312,100.13862858122467,105.37123735814667,100.13862858122467,149.9847989105734,99.97140362334318,144.89035147033314,99.97140362334318,154.9193907160893,99.97140362334318
100.44674161185516,100.0517158018974,95.33268445865036,100.0517158018974,105.42665453218176,100.0517158018974,150.1772264390198,99.99583210718147,145.15492372102403,99.99583210718147,155.27651977292612,99.99583210718147
100.24037068563709,99.70999515358476,95.33647562515618,99.70999515358476,105.32991866389497,99.70999515358476,150.03707597841137,100.17789116160259,145.05746410590103,100.17789116160259,155.01716715714127,100.17789116160259
100.3588805945536,100.05751794767362,95.29338362262101,100.05751794767362,105.41319584646777,100.05751794767362,149.97484315734835,99.93441731264943,144.90957740709752,99.93441731264943,154.9551504720309,99.93441731264943
100.34182985298496,100.09999766989108,95.31096350652346,100.09999766989108,105.31044099151642,100.09999766989108,149.8023337682246,99.97164026543129,144.77609113479338,99.97164026543129,154.76771028340994,99.97164026543129
100.34434426289747,100.13919960238594,95.30209594237864,100.13919960238594,105.32464365650497,100.13919960238594,149.93952372656273,99.98253192788887,144.90934814625572,99.98253192788887,155.04310858783617,99.98253192788887
100.26612686363622,100.05913328598056,95.28541025873263,100.05913328598056,105.28393044878733,100.05913328598056,150.00112885023412,100.27079863914796,144.9915428117734,100.27079863914796,155.0061910714648,100.27079863914796
100.31001902069991,99.9471009491693,95.3498654070074,99.9471009491693,105.31316987516465,99.9471009491693,150.08582452108587,100.1520015148445,145.0857027716912,100.1520015148445,155.01270111319025,100.1520015148445
